Date,Open,High,Low,Close,Adj Close,Volume
2008/1/2,7.116786,7.152143,6.876786,6.958571,5.906412,1079178800
2008/1/3,6.978929,7.049643,6.881786,6.961786,5.90914,842066400
2008/1/4,6.8375,6.892857,6.388929,6.430357,5.458066,1455832000
2008/1/7,6.473214,6.557143,6.079643,6.344286,5.385008,2072193200
2008/1/8,6.433571,6.516429,6.1,6.116071,5.191299,1523816000
2008/1/9,6.117857,6.410714,6.010714,6.407143,5.438361,1813882000
2008/1/10,6.342143,6.464286,6.264643,6.357857,5.396527,1482975200
2008/1/11,6.285714,6.351786,6.071429,6.1675,5.234953,1232285600
2008/1/14,6.34,6.407857,6.256071,6.385,5.419565,1100450400
2008/1/15,6.347143,6.400714,5.880714,6.037143,5.124309,2343278000
2008/1/16,5.901071,6.036071,5.596429,5.701429,4.839353,2213845200
2008/1/17,5.768214,5.905714,5.657857,5.746071,4.877245,1757859600
2008/1/18,5.775357,5.919643,5.700357,5.762857,4.891494,1724343600
2008/1/22,5.287857,5.713571,5.214286,5.558571,4.718095,2434754000
2008/1/23,4.863929,5,4.505,4.966786,4.215791,3372969600
2008/1/24,4.999643,5.025,4.714643,4.842857,4.1106,2005866800
2008/1/25,4.963929,4.9675,4.628929,4.643214,3.941145,1554739200
2008/1/28,4.577143,4.757143,4.516071,4.643214,3.941145,1474844000
2008/1/29,4.683929,4.7425,4.608929,4.697857,3.987525,1099982800
2008/1/30,4.691786,4.8375,4.642857,4.720714,4.006925,1243051600
2008/1/31,4.623214,4.880357,4.621429,4.834286,4.103325,1345674400
2008/2/1,4.865714,4.878214,4.720714,4.776786,4.05452,1010744000
2008/2/4,4.793214,4.853571,4.693571,4.701786,3.99086,899234000
2008/2/5,4.658214,4.785714,4.603571,4.62,3.92144,1141042000
2008/2/6,4.6725,4.711429,4.348929,4.357143,3.698328,1573272400
2008/2/7,4.284643,4.456429,4.188214,4.33,3.675289,2083331600
2008/2/8,4.36,4.489286,4.342857,4.481429,3.803822,1355972800
2008/2/11,4.571786,4.642143,4.542857,4.623214,3.924168,1201432400
2008/2/12,4.667857,4.678571,4.415,4.459286,3.785027,1225980000
2008/2/13,4.524286,4.635,4.486786,4.621429,3.922652,968534000
2008/2/14,4.621429,4.671429,4.536071,4.552143,3.863843,954097200
2008/2/15,4.509643,4.538571,4.430714,4.451071,3.778052,901300400
2008/2/19,4.499643,4.526786,4.337143,4.363571,3.703784,1005046000
2008/2/20,4.364286,4.45,4.345714,4.422143,3.7535,967439200
2008/2/21,4.501786,4.516786,4.316429,4.340714,3.684384,938114800
2008/2/22,4.374286,4.375357,4.138214,4.266429,3.62133,1529878000
2008/2/25,4.235357,4.291786,4.166429,4.276429,3.629818,1256774400
2008/2/26,4.201429,4.324643,4.122857,4.255357,3.611932,1504888000
2008/2/27,4.2225,4.394643,4.2175,4.391429,3.72743,1475138000
2008/2/28,4.542857,4.721429,4.491786,4.639643,3.938114,1618254400
2008/2/29,4.6175,4.650357,4.457143,4.465,3.789876,1255480800
2008/3/3,4.444286,4.499286,4.214286,4.3475,3.690142,1593043200
2008/3/4,4.356786,4.46,4.3,4.450714,3.77775,1785383600
2008/3/5,4.413571,4.469286,4.366071,4.446071,3.773809,1221836000
2008/3/6,4.450357,4.553571,4.314643,4.318929,3.665892,1473698800
2008/3/7,4.300357,4.392143,4.251786,4.366071,3.705905,1230462800
2008/3/10,4.356429,4.409286,4.263214,4.274643,3.628301,999588800
2008/3/11,4.432143,4.552857,4.357143,4.548214,3.860509,1163943200
2008/3/12,4.537143,4.595714,4.470357,4.501071,3.820494,1059629200
2008/3/13,4.432143,4.625,4.392857,4.569286,3.878394,1262102800
2008/3/14,4.638571,4.653571,4.435714,4.521786,3.838077,1156640800
2008/3/17,4.376786,4.5925,4.376786,4.526071,3.841713,1072598800
2008/3/18,4.613571,4.75,4.595357,4.743571,4.026326,1205120000
2008/3/19,4.754286,4.796071,4.631071,4.631071,3.930837,1010536800
2008/3/20,4.682857,4.760357,4.613571,4.759643,4.039969,908787600
2008/3/24,4.786071,5.030357,4.772857,4.983214,4.229733,1066920400
2008/3/25,4.998571,5.110714,4.904643,5.035,4.27369,1052391200
2008/3/26,5.031071,5.205,5.022857,5.180714,4.397373,1182084400
2008/3/27,5.176786,5.189643,4.999643,5.008929,4.251562,999829600
2008/3/28,5.064286,5.166071,5.057143,5.1075,4.335228,714610400
2008/3/31,5.116786,5.203929,5.09,5.125,4.350084,768065200
2008/4/1,5.225,5.345,5.128929,5.340357,4.532877,1032567200
2008/4/2,5.313571,5.4,5.208929,5.2675,4.471036,1044968400
2008/4/3,5.252143,5.486786,5.25,5.414643,4.59593,1051568000
2008/4/4,5.435357,5.525357,5.383929,5.467143,4.640491,854417200
2008/4/7,5.576071,5.703214,5.539643,5.5675,4.725675,1158326400
2008/4/8,5.483929,5.5875,5.44,5.458571,4.633218,1014294400
2008/4/9,5.475357,5.496071,5.373571,5.408571,4.590777,873398400
2008/4/10,5.3975,5.550714,5.378571,5.519643,4.685054,955763200
2008/4/11,5.454286,5.475,5.228571,5.255,4.460426,1210076000
2008/4/14,5.241786,5.330357,5.162143,5.277857,4.479826,845087600
2008/4/15,5.335714,5.347143,5.204286,5.299286,4.498015,698037200
2008/4/16,5.418571,5.503571,5.379286,5.489286,4.659286,795774000
2008/4/17,5.506071,5.571429,5.476786,5.5175,4.683235,704267200
2008/4/18,5.682857,5.795,5.656429,5.751429,4.881793,1026765600
2008/4/21,5.793214,6.017857,5.777143,6.005714,5.097629,1039152800
2008/4/22,5.978571,6,5.646071,5.721429,4.856328,1439572400
2008/4/23,5.858929,5.887143,5.752857,5.8175,4.937875,1504190800
2008/4/24,5.905,6.070714,5.685357,6.033571,5.121274,1696066400
2008/4/25,6.096429,6.110714,5.943571,6.061786,5.145223,992474000
2008/4/28,6.0625,6.205357,6.040357,6.151429,5.221313,787214400
2008/4/29,6.111071,6.273571,6.080357,6.251786,5.306495,923476400
2008/4/30,6.2925,6.428571,6.175714,6.2125,5.273149,1139524400
2008/5/1,6.248571,6.428571,6.245,6.428571,5.456549,903576800
2008/5/2,6.435357,6.497143,6.376786,6.462143,5.485045,1006082000
2008/5/5,6.497143,6.618214,6.466071,6.5975,5.599934,854557200
2008/5/6,6.595,6.682857,6.506429,6.666429,5.658441,918870400
2008/5/7,6.644643,6.721429,6.447857,6.521071,5.535061,1157133600
2008/5/8,6.563214,6.660714,6.538214,6.609286,5.60994,899085600
2008/5/9,6.541429,6.580357,6.4775,6.551786,5.561133,673072400
2008/5/12,6.614643,6.745357,6.530357,6.72,5.703913,818563200
2008/5/13,6.736071,6.8375,6.709286,6.784286,5.758477,823236400
2008/5/14,6.829643,6.865714,6.6275,6.652143,5.646316,916823600
2008/5/15,6.671786,6.782143,6.578571,6.776071,5.751507,873208000
2008/5/16,6.789643,6.796429,6.678571,6.700714,5.687542,765769200
2008/5/19,6.709286,6.738929,6.475,6.557143,5.565681,945820400
2008/5/20,6.493571,6.648571,6.432857,6.639286,5.635403,969850000
2008/5/21,6.631071,6.7125,6.294643,6.363929,5.40168,1157657200
2008/5/22,6.402143,6.476071,6.142857,6.323214,5.367121,1206735600
2008/5/23,6.456071,6.499643,6.35,6.470357,5.492016,906917200
2008/5/27,6.526786,6.658214,6.494286,6.658214,5.651467,789905200
2008/5/28,6.693214,6.7125,6.561429,6.678929,5.66905,743979600
2008/5/29,6.67,6.721429,6.625,6.6675,5.65935,647186400
2008/5/30,6.694643,6.769286,6.692143,6.741071,5.721797,610184400
2008/6/2,6.735714,6.773214,6.590357,6.646429,5.641467,679840000
2008/6/3,6.673571,6.721429,6.512143,6.620357,5.619337,750520400
2008/6/4,6.572143,6.681786,6.543929,6.613929,5.61388,726983600
2008/6/5,6.655,6.78,6.632143,6.765357,5.742413,755445600
2008/6/6,6.714286,6.783929,6.626786,6.63,5.627522,966422800
2008/6/9,6.599643,6.605,6.276786,6.486071,5.505354,1888392800
2008/6/10,6.446786,6.670714,6.393571,6.63,5.627522,1140941200
2008/6/11,6.583571,6.642857,6.413929,6.4575,5.481102,961550800
2008/6/12,6.481786,6.521429,6.114286,6.187857,5.252232,1308333600
2008/6/13,6.13,6.22,5.903929,6.156071,5.225253,1345957200
2008/6/16,6.117857,6.353571,6.038214,6.315714,5.360755,1051730400
2008/6/17,6.360714,6.499643,6.336071,6.479643,5.499897,899656800
2008/6/18,6.468571,6.507143,6.333929,6.383929,5.418656,811468000
2008/6/19,6.376786,6.512143,6.314286,6.460714,5.483831,791949200
2008/6/20,6.405357,6.464286,6.25,6.259643,5.313162,888367200
2008/6/23,6.240714,6.281429,6.127143,6.184286,5.249202,645780800
2008/6/24,6.156071,6.277857,6.129643,6.1875,5.251928,621947200
2008/6/25,6.236071,6.386786,6.21,6.335357,5.37743,644450800
2008/6/26,6.216786,6.244286,6.000357,6.009286,5.10066,869610000
2008/6/27,5.946786,6.091786,5.8625,6.074643,5.156137,1042249600
2008/6/30,6.078214,6.142857,5.950714,5.98,5.075805,684196800
2008/7/1,5.865357,6.24,5.857143,6.238571,5.295277,1111280800
2008/7/2,6.257143,6.3375,6.006429,6.006429,5.098236,837519200
2008/7/3,6.056786,6.148929,5.919643,6.075714,5.157045,523362000
2008/7/7,6.184286,6.326071,6.139286,6.255714,5.30983,820391600
2008/7/8,6.264286,6.417857,6.169286,6.4125,5.442907,888350400
2008/7/9,6.435714,6.461071,6.219286,6.223214,5.282242,895776000
2008/7/10,6.247143,6.333571,6.120357,6.308214,5.354391,840688800
2008/7/11,6.266786,6.325357,6.107143,6.163571,5.231618,930011600
2008/7/14,6.401429,6.403571,6.181429,6.21,5.271026,886054400
2008/7/15,6.16,6.205,5.9425,6.058571,5.142493,1040043200
2008/7/16,6.078571,6.176071,6.021429,6.171786,5.238591,747790400
2008/7/17,6.217857,6.249286,6.121071,6.136071,5.208275,757526000
2008/7/18,6.018571,6.058929,5.892857,5.898214,5.006383,868414400
2008/7/21,5.960714,5.982143,5.754286,5.938929,5.040943,1360469600
